# CMD: /usr/bin/time -v /users/Xinying/ozonedb/ycsb/bin/ycsb run ozonedb -threads 8 -s -P /users/Xinying/ozonedb/ycsb/workloads/generated_workloads/workloadc_1KB_1000000_1000000 -p status.interval=1 -p maxexecutiontime=120 -p operationcount=0 -p shared_config=/users/Xinying/ozonedb/src/config/local/shared_config_rocksdb.json
# devices=['sda6'] sectors_before=1123197304 sectors_after=1123221680
# elapsed_s=130.72 returncode=0

=== STDOUT ===
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
[OVERALL], RunTime(ms), 120098
[OVERALL], Throughput(ops/sec), 110382.82069643124
[TOTAL_GCS_PS_Scavenge], Count, 211
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 344
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.2864327465902846
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 211
[TOTAL_GC_TIME], Time(ms), 344
[TOTAL_GC_TIME_%], Time(%), 0.2864327465902846
[READ], Operations, 13256756
[READ], AverageLatency(us), 70.20145629896183
[READ], MinLatency(us), 3
[READ], MaxLatency(us), 269055
[READ], 95thPercentileLatency(us), 111
[READ], 99thPercentileLatency(us), 129
[READ], Return=OK, 13256756
[CLEANUP], Operations, 8
[CLEANUP], AverageLatency(us), 59763.375
[CLEANUP], MinLatency(us), 3118
[CLEANUP], MaxLatency(us), 96767
[CLEANUP], 95thPercentileLatency(us), 96767
[CLEANUP], 99thPercentileLatency(us), 96767

=== STDERR ===
[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl site.ycsb:ozonedb-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
/usr/lib/jvm/java-8-openjdk-amd64/bin/java -cp /users/Xinying/ozonedb/ycsb/ozonedb/conf:/users/Xinying/ozonedb/ycsb/ozonedb/target/ozonedb-binding-0.18.0-SNAPSHOT.jar:/users/Xinying/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/users/Xinying/.m2/repository/org/slf4j/slf4j-api/1.7.25/slf4j-api-1.7.25.jar:/users/Xinying/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.12/HdrHistogram-2.1.12.jar:/users/Xinying/.m2/repository/ch/qos/logback/logback-classic/1.2.3/logback-classic-1.2.3.jar:/users/Xinying/.m2/repository/ozonedbjnimaven/demoproc-jni/1.0/demoproc-jni-1.0.jar:/users/Xinying/.m2/repository/ch/qos/logback/logback-core/1.2.3/logback-core-1.2.3.jar:/users/Xinying/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/users/Xinying/.m2/repository/org/slf4j/slf4j-simple/1.7.25/slf4j-simple-1.7.25.jar:/users/Xinying/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/users/Xinying/ozonedb/ycsb/core/target/core-0.18.0-SNAPSHOT.jar site.ycsb.Client -db site.ycsb.db.OzoneDBClient -threads 8 -s -P /users/Xinying/ozonedb/ycsb/workloads/generated_workloads/workloadc_1KB_1000000_1000000 -p status.interval=1 -p maxexecutiontime=120 -p operationcount=0 -p shared_config=/users/Xinying/ozonedb/src/config/local/shared_config_rocksdb.json -t
Command line: -db site.ycsb.db.OzoneDBClient -threads 8 -s -P /users/Xinying/ozonedb/ycsb/workloads/generated_workloads/workloadc_1KB_1000000_1000000 -p status.interval=1 -p maxexecutiontime=120 -p operationcount=0 -p shared_config=/users/Xinying/ozonedb/src/config/local/shared_config_rocksdb.json -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/users/Xinying/.m2/repository/ch/qos/logback/logback-classic/1.2.3/logback-classic-1.2.3.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/users/Xinying/.m2/repository/org/slf4j/slf4j-simple/1.7.25/slf4j-simple-1.7.25.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [ch.qos.logback.classic.util.ContextSelectorStaticBinder]
Maximum execution time specified as: 120 secs
2026-04-28 07:00:44:478 0 sec: 0 operations; 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2026-04-28 07:00:45:477 1 sec: 0 operations; 
2026-04-28 07:00:46:477 2 sec: 23735 operations; 23735 current ops/sec; [READ: Count=23888, Max=269055, Min=4, Avg=414.15, 90=1645, 99=3045, 99.9=3999, 99.99=266239] 
2026-04-28 07:00:47:477 3 sec: 127177 operations; 103442 current ops/sec; [READ: Count=103351, Max=3725, Min=4, Avg=74.99, 90=105, 99=138, 99.9=1258, 99.99=2163] 
2026-04-28 07:00:48:477 4 sec: 238905 operations; 111728 current ops/sec; [READ: Count=111724, Max=4851, Min=3, Avg=69.76, 90=104, 99=128, 99.9=154, 99.99=364] 
2026-04-28 07:00:49:477 5 sec: 351585 operations; 112680 current ops/sec; [READ: Count=112684, Max=3507, Min=3, Avg=69.22, 90=103, 99=128, 99.9=279, 99.99=559] 
2026-04-28 07:00:50:477 6 sec: 464813 operations; 113228 current ops/sec; [READ: Count=113227, Max=474, Min=3, Avg=68.88, 90=103, 99=128, 99.9=168, 99.99=435] 
2026-04-28 07:00:51:477 7 sec: 578175 operations; 113362 current ops/sec; [READ: Count=113354, Max=3581, Min=3, Avg=68.78, 90=103, 99=127, 99.9=150, 99.99=429] 
2026-04-28 07:00:52:477 8 sec: 690783 operations; 112608 current ops/sec; [READ: Count=112611, Max=836, Min=3, Avg=69.21, 90=103, 99=128, 99.9=379, 99.99=439] 
2026-04-28 07:00:53:477 9 sec: 803853 operations; 113070 current ops/sec; [READ: Count=113070, Max=3243, Min=3, Avg=69.1, 90=103, 99=128, 99.9=222, 99.99=443] 
2026-04-28 07:00:54:477 10 sec: 915852 operations; 111999 current ops/sec; [READ: Count=112003, Max=3491, Min=3, Avg=69.66, 90=103, 99=130, 99.9=388, 99.99=442] 
2026-04-28 07:00:55:477 11 sec: 1028556 operations; 112704 current ops/sec; [READ: Count=112699, Max=471, Min=3, Avg=69.25, 90=103, 99=128, 99.9=162, 99.99=427] 
2026-04-28 07:00:56:477 12 sec: 1141211 operations; 112655 current ops/sec; [READ: Count=112654, Max=3723, Min=3, Avg=69.32, 90=103, 99=127, 99.9=168, 99.99=434] 
2026-04-28 07:00:57:477 13 sec: 1253749 operations; 112538 current ops/sec; [READ: Count=112533, Max=3507, Min=3, Avg=69.39, 90=103, 99=128, 99.9=201, 99.99=836] 
2026-04-28 07:00:58:477 14 sec: 1366663 operations; 112914 current ops/sec; [READ: Count=112918, Max=486, Min=3, Avg=69.12, 90=103, 99=128, 99.9=168, 99.99=437] 
2026-04-28 07:00:59:477 15 sec: 1479063 operations; 112400 current ops/sec; [READ: Count=112408, Max=4033, Min=3, Avg=69.4, 90=103, 99=128, 99.9=160, 99.99=439] 
2026-04-28 07:01:00:477 16 sec: 1591974 operations; 112911 current ops/sec; [READ: Count=112911, Max=555, Min=3, Avg=69.11, 90=103, 99=128, 99.9=162, 99.99=424] 
2026-04-28 07:01:01:477 17 sec: 1704712 operations; 112738 current ops/sec; [READ: Count=112735, Max=4963, Min=3, Avg=69.18, 90=103, 99=128, 99.9=155, 99.99=435] 
2026-04-28 07:01:02:477 18 sec: 1817248 operations; 112536 current ops/sec; [READ: Count=112539, Max=1651, Min=3, Avg=69.36, 90=103, 99=128, 99.9=279, 99.99=459] 
2026-04-28 07:01:03:477 19 sec: 1929638 operations; 112390 current ops/sec; [READ: Count=112382, Max=2145, Min=3, Avg=69.43, 90=103, 99=128, 99.9=252, 99.99=454] 
2026-04-28 07:01:04:477 20 sec: 2042479 operations; 112841 current ops/sec; [READ: Count=112844, Max=554, Min=3, Avg=69.17, 90=103, 99=128, 99.9=177, 99.99=429] 
2026-04-28 07:01:05:477 21 sec: 2154989 operations; 112510 current ops/sec; [READ: Count=112508, Max=2541, Min=3, Avg=69.38, 90=103, 99=128, 99.9=169, 99.99=665] 
2026-04-28 07:01:06:477 22 sec: 2267781 operations; 112792 current ops/sec; [READ: Count=112791, Max=1537, Min=3, Avg=69.19, 90=103, 99=127, 99.9=152, 99.99=395] 
2026-04-28 07:01:07:478 23 sec: 2380814 operations; 113033 current ops/sec; [READ: Count=113039, Max=784, Min=3, Avg=69.08, 90=103, 99=127, 99.9=161, 99.99=390] 
2026-04-28 07:01:08:477 24 sec: 2493890 operations; 113076 current ops/sec; [READ: Count=113073, Max=1479, Min=3, Avg=69, 90=103, 99=128, 99.9=160, 99.99=405] 
2026-04-28 07:01:09:477 25 sec: 2606912 operations; 113022 current ops/sec; [READ: Count=113019, Max=1501, Min=3, Avg=69.06, 90=103, 99=127, 99.9=163, 99.99=412] 
2026-04-28 07:01:10:477 26 sec: 2719530 operations; 112618 current ops/sec; [READ: Count=112624, Max=2103, Min=3, Avg=69.31, 90=103, 99=128, 99.9=292, 99.99=439] 
